City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
390,Markova,48.6758,24.4138,30.63,97,100,7.52,UA,2021-12-13 00:08:15
391,Mason City,43.1536,-93.201,37.53,36,35,8.93,US,2021-12-13 00:05:00
392,Ulladulla,-35.35,150.4667,72.88,65,1,6.58,AU,2021-12-13 00:08:16
393,Toora-Khem,52.4675,96.11,1.71,96,99,0.38,RU,2021-12-13 00:08:16
394,Kupang,-10.1667,123.5833,81.18,94,40,1.14,ID,2021-12-13 00:08:17
395,Chama,47.1821,8.4636,39.06,100,90,0.0,CH,2021-12-13 00:08:17
396,Verkhoyansk,67.5447,133.385,-43.2,100,97,2.51,RU,2021-12-13 00:08:17
397,Juba,4.8517,31.5825,76.17,32,82,0.98,SS,2021-12-13 00:08:18
398,Ust-Kulom,61.6864,53.6902,-3.15,98,88,3.69,RU,2021-12-13 00:08:18
399,Saskylakh,71.9167,114.0833,-44.7,100,71,3.49,RU,2021-12-13 00:08:18
400,Canberra,-35.2835,149.1281,72.68,73,40,3.44,AU,2021-12-13 00:07:06
401,Mana,5.6592,-53.7767,76.91,91,100,9.53,GF,2021-12-13 00:08:19
402,Valdivia,-39.8142,-73.2459,53.69,77,44,3.47,CL,2021-12-13 00:08:19
403,Novopetrovskoye,55.9928,36.4719,24.01,92,100,8.72,RU,2021-12-13 00:08:19
404,Kapuskasing,49.4169,-82.4331,34.68,86,100,12.08,CA,2021-12-13 00:06:00
405,Rosa Zarate,0.3333,-79.4667,71.47,98,100,0.02,EC,2021-12-13 00:08:20
406,Geraldton,-28.7667,114.6,68.41,60,49,8.05,AU,2021-12-13 00:08:20
407,Ekhabi,53.5102,142.9671,24.6,93,100,19.62,RU,2021-12-13 00:08:20
408,Kushmurun,52.4503,64.6311,2.89,94,10,3.42,KZ,2021-12-13 00:08:21
409,Shakawe,-18.3667,21.85,70.07,79,99,5.55,BW,2021-12-13 00:08:21
410,Ust-Uda,54.1742,103.0304,16.03,89,100,6.04,RU,2021-12-13 00:08:21
411,Vanavara,60.34,102.2797,-40.79,99,39,2.91,RU,2021-12-13 00:08:22
412,Wajima,37.4,136.9,40.39,77,100,22.97,JP,2021-12-13 00:08:22
413,Beloha,-25.1667,45.05,72.25,79,56,7.72,MG,2021-12-13 00:08:22
414,Nishihara,26.1842,127.7558,67.28,81,75,12.66,JP,2021-12-13 00:08:23
415,Ugoofaaru,5.6667,73.0,82.49,75,100,16.37,MV,2021-12-13 00:08:23
416,Garden City,42.3256,-83.331,43.05,62,20,4.0,US,2021-12-13 00:04:42
417,Koutsouras,35.0339,25.9469,60.12,71,82,13.58,GR,2021-12-13 00:08:23
418,Iacu,-12.7672,-40.2117,72.41,81,99,5.68,BR,2021-12-13 00:08:24
419,Svetlogorsk,52.6333,29.7333,36.57,92,99,3.47,BY,2021-12-13 00:08:24
420,Kotri,25.366,68.3122,62.15,20,77,6.98,PK,2021-12-13 00:08:25
421,San Fernando,15.0286,120.6898,81.14,75,98,6.38,PH,2021-12-13 00:08:25
422,Tevaitoa,-16.7833,-151.5,81.09,74,53,11.7,PF,2021-12-13 00:08:25
423,Cherskiy,68.75,161.3,-42.83,100,53,1.72,RU,2021-12-13 00:08:26
424,Urucara,-2.5364,-57.76,75.81,96,98,2.3,BR,2021-12-13 00:08:26
425,Sakiai,54.9547,23.0358,28.65,94,100,3.91,LT,2021-12-13 00:08:26
426,Las Margaritas,16.3167,-91.9833,60.93,85,5,7.94,MX,2021-12-13 00:08:27
427,Adrar,20.5022,-10.0711,66.34,17,44,10.67,MR,2021-12-13 00:08:27
428,Payo,-3.7508,103.6372,73.96,97,92,2.35,ID,2021-12-13 00:08:27
429,Tahe,52.3333,124.7333,2.05,95,100,1.83,CN,2021-12-13 00:08:28
430,Yelizovo,53.1873,158.3805,28.11,74,20,1.99,RU,2021-12-13 00:08:28
431,Rumoi,43.9344,141.6428,27.41,82,97,28.95,JP,2021-12-13 00:08:28
432,Bay Roberts,47.5999,-53.2648,43.52,88,100,11.99,CA,2021-12-13 00:08:28
433,Gamba,-2.65,10.0,75.45,93,99,1.63,GA,2021-12-13 00:08:29
434,Boa Vista,2.8197,-60.6733,78.58,81,99,5.1,BR,2021-12-13 00:08:29
435,Pittsfield,42.4501,-73.2454,37.42,49,1,4.61,US,2021-12-13 00:08:29
436,La Palma,33.8464,-118.0467,67.75,49,1,4.0,US,2021-12-13 00:08:30
437,Huarmey,-10.0681,-78.1522,69.24,81,80,8.19,PE,2021-12-13 00:08:30
438,Bara,10.3744,10.7288,71.91,27,73,7.61,NG,2021-12-13 00:08:30
439,Surgut,61.25,73.4167,8.78,84,40,4.0,RU,2021-12-13 00:08:31
440,Champerico,14.3,-91.9167,84.34,73,1,4.79,GT,2021-12-13 00:08:31
441,Haines Junction,60.7522,-137.5108,-14.4,97,99,2.15,CA,2021-12-13 00:08:31
442,Jalu,29.0331,21.5482,53.76,78,2,8.23,LY,2021-12-13 00:08:32
443,Tagab,34.855,69.6492,39.38,22,0,3.33,AF,2021-12-13 00:08:32
444,Chalus,36.655,51.4204,55.6,88,90,8.9,IR,2021-12-13 00:08:32
445,Mollendo,-17.0231,-72.0147,66.78,90,100,6.53,PE,2021-12-13 00:08:33
446,Salitrillo,19.4333,-99.85,59.05,54,41,3.51,MX,2021-12-13 00:08:33
447,Sinnamary,5.3833,-52.95,76.89,91,100,9.62,GF,2021-12-13 00:08:33
448,Gorontalo,0.5412,123.0595,81.25,85,100,3.06,ID,2021-12-13 00:08:34
449,Bafq,31.6128,55.4107,47.16,45,0,1.1,IR,2021-12-13 00:08:34
450,Krasnoselkup,65.7,82.4667,-17.52,91,100,5.88,RU,2021-12-13 00:08:34
451,Ortona,42.3496,14.4039,47.16,42,17,11.41,IT,2021-12-13 00:08:35
452,Egvekinot,66.3167,-179.1667,-22.83,80,1,6.58,RU,2021-12-13 00:08:35
453,Ishii,34.0667,134.4333,49.91,62,40,13.8,JP,2021-12-13 00:08:35
454,Porto Walter,-8.2686,-72.7439,76.84,90,72,3.76,BR,2021-12-13 00:08:36
455,Pemangkat,1.1667,108.9667,78.33,88,99,5.08,ID,2021-12-13 00:08:36
456,Navolato,24.7672,-107.6944,80.64,70,67,7.85,MX,2021-12-13 00:08:36
457,Mareeba,-17.0,145.4333,88.32,67,47,3.83,AU,2021-12-13 00:08:36
458,Sanandrei,45.8531,21.1681,36.18,99,90,3.44,RO,2021-12-13 00:08:37
459,Arlit,18.7369,7.3853,68.59,8,89,6.53,NE,2021-12-13 00:08:37
460,Caxito,-8.5785,13.6643,75.69,98,100,2.77,AO,2021-12-13 00:08:37
461,Hami,42.8,93.45,22.06,44,41,3.33,CN,2021-12-13 00:08:38
462,Nanortalik,60.1432,-45.2371,21.85,77,39,8.99,GL,2021-12-13 00:08:38
463,Sakaraha,-22.9,44.5333,73.29,75,90,2.86,MG,2021-12-13 00:08:38
464,Jacksonville,30.3322,-81.6556,63.43,83,90,1.99,US,2021-12-13 00:06:21
465,Narasannapeta,18.4167,84.05,68.65,84,25,6.69,IN,2021-12-13 00:08:39
466,Isla Mujeres,21.2311,-86.731,78.85,77,32,11.21,MX,2021-12-13 00:08:39
467,Tezu,27.9167,96.1667,57.83,52,24,3.78,IN,2021-12-13 00:08:39
468,College,64.8569,-147.8028,-11.79,69,75,0.0,US,2021-12-13 00:08:40
469,Tilichiki,60.4667,166.1,-7.94,84,100,19.24,RU,2021-12-13 00:08:40
470,Alamogordo,32.8995,-105.9603,57.6,35,1,3.44,US,2021-12-13 00:05:06
471,Moro,26.6646,68.0016,48.06,22,63,3.6,PK,2021-12-13 00:08:40
472,Vila,42.0304,-8.1588,44.33,79,26,4.23,PT,2021-12-13 00:08:41
473,Vikersund,59.9659,9.995,36.79,96,100,2.55,NO,2021-12-13 00:08:41
474,Vaasa,63.096,21.6158,33.82,93,90,11.5,FI,2021-12-13 00:08:42
475,Bud,39.447,-86.1758,42.78,57,5,7.61,US,2021-12-13 00:08:42
476,Tigre,-34.426,-58.5796,77.25,77,0,2.3,AR,2021-12-13 00:06:55
477,Coahuayana,18.7333,-103.6833,85.48,78,25,4.25,MX,2021-12-13 00:08:42
478,Nipawin,53.3668,-104.0009,19.44,100,90,5.75,CA,2021-12-13 00:07:00
479,Goundam,16.4145,-3.6708,75.56,12,95,8.25,ML,2021-12-13 00:08:43
480,San Martino Buon Albergo,45.4217,11.0969,41.25,93,75,4.61,IT,2021-12-13 00:08:43
481,Dosso,13.049,3.1937,74.46,15,92,8.39,NE,2021-12-13 00:08:43
482,Kenai,60.5544,-151.2583,10.45,63,1,17.27,US,2021-12-13 00:07:31
483,Chicama,-7.8447,-79.1469,64.94,75,59,6.87,PE,2021-12-13 00:08:44
484,Shihezi,44.3,86.0333,15.39,81,52,3.18,CN,2021-12-13 00:08:44
485,Aksu,41.1231,80.2644,18.82,75,13,0.89,CN,2021-12-13 00:06:53
486,Listvyanskiy,54.4399,83.4984,3.18,96,98,5.77,RU,2021-12-13 00:08:45
487,Key Largo,25.0865,-80.4473,78.01,71,4,15.46,US,2021-12-13 00:04:29
488,Salinopolis,-0.6136,-47.3561,81.66,79,32,12.84,BR,2021-12-13 00:07:45
489,Beidao,34.5686,105.8933,29.93,83,23,2.93,CN,2021-12-13 00:08:45
490,Loandjili,-4.7561,11.8578,77.7,88,94,1.99,CG,2021-12-13 00:08:45
491,Yakeshi,49.2833,120.7333,8.47,85,99,13.24,CN,2021-12-13 00:08:46
492,Ouadda,8.0777,22.4007,72.63,34,67,5.93,CF,2021-12-13 00:08:46
