City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Pimenta Bueno,BR,74.19,overcast clouds,-11.6725,-61.1936,Pimenta Bueno
389,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Anloga
390,Tagusao,PH,85.19,broken clouds,9.1924,117.8141,Quezon
391,Humberto De Campos,BR,78.64,overcast clouds,-2.5983,-43.4611,Humberto de Campos
394,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Kampung Parang
395,Flinders,AU,75.18,clear sky,-34.5833,150.8552,Wollongong
396,Whithorn,JM,76.26,clear sky,18.2604,-78.0378,Withorn
398,Ambilobe,MG,85.06,clear sky,-13.2,49.05,Ambilobe
401,Balingasay,PH,82.0,overcast clouds,16.3573,119.8564,Bolinao
402,Sainte-Marie,RE,82.78,clear sky,-20.8968,55.5496,Saint Denis
403,Kalianget,ID,84.96,overcast clouds,-7.05,113.9333,SMK Negeri 1 Kalianget
404,Grand-Santi,GF,73.06,overcast clouds,4.25,-54.3833,Grand-Santi
406,Vanimo,PG,84.58,moderate rain,-2.6741,141.3028,Vanimo
407,Ouadda,CF,70.07,scattered clouds,8.0777,22.4007,Ouadda
409,Wellington,NZ,71.06,broken clouds,-41.2866,174.7756,Wellington
419,Jacareacanga,BR,73.94,overcast clouds,-6.2222,-57.7528,Jacareacanga
421,Kandrian,PG,83.1,light rain,-6.2167,149.55,Kandrian
422,Bafoulabe,ML,74.37,scattered clouds,13.8065,-10.8321,Bafoulabé
426,Mackay,AU,90.68,scattered clouds,-21.15,149.2,Mackay
428,Pangai,TO,82.51,few clouds,-19.8,-174.35,Pangai
431,Labuan,MY,86.36,few clouds,5.2767,115.2417,Labuan
434,Hobyo,SO,80.38,few clouds,5.3505,48.5268,Hobyo
437,Nanakuli,US,76.98,overcast clouds,21.3906,-158.1547,Nānākuli
438,Aborlan,PH,81.54,overcast clouds,9.4352,118.5492,Aborlan
442,Macherla,IN,79.03,overcast clouds,16.4833,79.4333,Macherla
443,Mahibadhoo,MV,80.49,overcast clouds,3.7833,72.9667,Omadhoo
444,Jutai,BR,73.42,overcast clouds,-5.1833,-68.9,UNIDADE HOSPITALAR DE JUTAI
446,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Saint George's
451,San Policarpo,PH,80.37,light rain,12.1791,125.5072,Oras
452,Nelson Bay,AU,76.77,clear sky,-32.7167,152.15,Nelson Bay - Corlette
462,Angoche,MZ,81.84,clear sky,-16.2325,39.9086,Angoche Island
467,Muisne,EC,73.47,light rain,0.6,-80.0333,Muisne
468,Mecca,SA,73.69,broken clouds,21.4267,39.8261,Makkah al-Mukarramah
469,Le Port,RE,82.62,few clouds,-20.9373,55.2919,Saint-Paul
472,Almeirim,BR,74.25,overcast clouds,-1.5233,-52.5817,Almeirim
474,Manggar,ID,83.55,overcast clouds,-2.8833,108.2667,Manggar
475,Corn Island,NI,80.6,few clouds,12.1694,-83.0418,Corn Islands
480,Panguna,PG,76.78,moderate rain,-6.3164,155.4848,Panguna
483,Belmopan,BZ,76.3,clear sky,17.25,-88.7667,Belmopan
486,Chateaubelair,VC,79.41,overcast clouds,13.2833,-61.25,Richmond
488,Mawlamyine,MM,84.49,scattered clouds,16.4914,97.6256,Mawlamyine
495,Dong Hoi,VN,70.65,overcast clouds,17.4833,106.6,Đồng Hới
496,Labuhan,ID,88.47,few clouds,-6.8844,112.2051,Musholla Babut Taubat
501,Inhambane,MZ,84.18,scattered clouds,-23.865,35.3833,Maxixe
506,Pangkalanbuun,ID,85.33,light rain,-2.6833,111.6167,Pangkalan Bun
508,Candido De Abreu,BR,70.97,overcast clouds,-24.5669,-51.3333,Cândido de Abreu
511,Camopi,GF,72.32,overcast clouds,3.1655,-52.3158,Camopi
512,Sadao,TH,87.33,broken clouds,6.6388,100.4234,Sadao
